
240320 16:41:22	     9 Query	CREATE VIEW EMP_WORKED AS SELECT E.EMP_LNAME,E.EMP_FNAME,H.ATTRACT_NO,H.DATE_WORKED FROM EMPLOYEE E JOIN HOURS H ON E.EMP_NUM = H.EMP_NUM
240320 16:42:38	     9 Query	CREATE VIEW EMPFR AS SELECT * FROM EMPLOYEE WHERE PARK_CODE = 'FR1001' WITH CHECK OPTION
240320 16:43:49	     9 Query	UPDATE EMPFR SET PARK_CODE = 'UK3452' WHERE EMP_NUM = 100
240320 16:45:49	     9 Query	SELECT DISTINCT(SALE_DATE) FROM SALES
240320 16:47:00	     9 Query	SELECT DISTINCT(DATE_FORMAT(SALE_DATE,'%D %b %Y')) FROM SALES
240320 16:48:13	     9 Query	SELECT CURRENT_DATE(),CURRENT_TIME()
240320 16:49:51	     9 Query	SELECT DAYOFMONTH(EMP_DOB) AS "Day",MONTH(EMP_DOB) AS "Month",YEAR(EMP_DOB) AS "Year" FROM EMPLOYEE
240320 16:51:36	     9 Query	SELECT EMP_LNAME,EMP_FNAME,EMP_DOB,DATE_FORMAT(EMP_DOB,'%b') AS MONTH FROM EMPLOYEE WHERE MONTH(EMP_DOB) = '11'
240320 16:53:47	     9 Query	SELECT DATEDIFF('2008-12-25','2008-01-01')
240320 16:54:41	     9 Query	SELECT DATEDIFF('2024-03-20','2009-12-25')
240320 16:56:13	     9 Query	SELECT ADDDATE('2008-01-01',INTERVAL 11 MONTH)
240320 16:58:03	     9 Query	SELECT EMP_LNAME,EMP_FNAME,EMP_HIRE_DATE,ADDDATE(EMP_HIRE_DATE,INTERVAL 12 MONTH) AS "FIRST APPRAISAL" FROM EMPLOYEE
240320 16:59:35	     9 Query	SELECT * FROM SALES WHERE SALE_DATE >= LAST_DAY(SALE_DATE)-20
240320 17:06:28	     9 Query	SELECT LINE_PRICE,ROUND(LINE_PRICE,1) AS "LINE_PRICE1",ROUND(LINE_PRICE,0) AS "LINE_PRICE1",TRUNCATE(LINE_PRICE,0) AS "TRUNCATED VALUE" FROM SALES_LINE WHERE LINE_QTY > 2
240320 17:07:28	     9 Query	SELECT TRANSACTION_NO,LINE_PRICE,MOD(LINE_PRICE,10) FROM SALES_LINE WHERE LINE_QTY > 2
240320 17:10:27	     9 Query	SELECT CONCAT(EMP_LNAME,EMP_FNAME) AS NAME FROM EMPLOYEE
240320 17:11:08	     9 Query	SELECT CONCAT(UPPER(EMP_LNAME),LOWER(EMP_FNAME)) AS NAME FROM EMPLOYEE
240320 17:11:48	     9 Query	SELECT EMP_PHONE,SUBSTR(EMP_FNAME,1,3) FROM EMPLOYEE
240320 17:12:38	     9 Query	SELECT ATTRACT_NAME,LENGTH(ATTRACT_NAME) AS NAMESIZE FROM ATTRACTION ORDER BY NAMESIZE DESC
240320 17:13:40	     9 Query	SELECT 10,CAST(10 AS CHAR)
240320 17:18:41	     9 Query	SELECT PARK_CODE,PARK_COUNTRY,(CASE PARK_COUNTRY WHEN 'UK' THEN 'United Kingdom' WHEN 'FR' THEN 'France' WHEN 'NL' THEN 'The Netherlands' WHEN 'SP' THEN 'Spain' WHEN 'ZA' THEN 'South Africa' WHEN 'SW' THEN 'Switzerland' ELSE 'Unknown' END) AS COUNTRY FROM THEMEPARK
240320 17:19:31	     9 Quit	
